310	CF Village 1	330	CF Village 1	100	1	1		100			
310	CF Village 1	340	CF Village 2	50	1	1			100	10	
320	CF Village 2	340	CF Village 2	100	1	1		100			
320	CF Village 2	340	CF Village 2	50	1	1			100	10	
330	CF Boss	350	CF Boss	100	1	1			100		
330	CF Boss	350	CF Boss	25	1	1				100	
330	CF Boss	20	Common Hard Boss	100	1	1					
340	CF Boss Extra 1	360	CF Boss Extra 1	100	1	1					
350	CF Boss Extra 2	370	CF Boss Extra 2	100	1	1					
360	AC West	380	AC West	100	1	1			100		
360	AC West	380	AC West	25	1	1				100	
360	AC West	0	GENERIC	100	1	1		100	10		
370	AC East	390	AC East	100	1	1		100			
370	AC East	390	AC East	25	1	1			50	10	
370	AC East	0	GENERIC	100	1	1		100	10	1	
380	AC Last	400	AC Last	100	1	1			100		
380	AC Last	400	AC Last	25	1	1				100	
380	AC Last	0	GENERIC	50	1	1					
390	AC Hard	410	AC Hard	100	1	1				100	
390	AC Hard	410	AC Hard	25	1	1					100
390	AC Hard	20	Common Hard Boss	100	1	1					
390	AC Hard	0	GENERIC	100	1	2					
400	RH Officers	420	RH Officers	100	1	1			100		
400	RH Officers	420	RH Officers	25	1	1				100	
410	RH Zul Thark	430	RH Zul Thark	100	1	1				100	
410	RH Zul Thark	430	RH Zul Thark	50	1	1					100
410	RH Zul Thark	20	Common Hard Boss	100	1	1					
410	RH Zul Thark	30	Common Dungeon	100	1	2					
420	RH Final	440	RH Final Master	100	1	1					100
420	RH Final	440	RH Final Master	25	1	1				100	
420	RH Final	20	Common Hard Boss	100	1	2					
420	RH Final	0	GENERIC	100	1	1		100	20	5	
420	RH Final	30	Common Dungeon	10	1	1					100
430	BRD Monster	450	BRD Start	100	1	1		100			
430	BRD Monster	450	BRD Start	25	1	1			100		
430	BRD Monster	0	GENERIC	100	1	2					
440	BRD Lan Zealot	460	BRD Lan Zealot	100	1	1			100		
440	BRD Lan Zealot	460	BRD Lan Zealot	25	1	1				100	
440	BRD Lan Zealot	0	GENERIC	100	1	1					
450	BRD Lan Zealot Hard	470	BRD Lan Zealot - Hard	100	1	1					100
450	BRD Lan Zealot Hard	470	BRD Lan Zealot - Hard	25	1	1				100	
450	BRD Lan Zealot Hard	20	Common Hard Boss	100	1	1					
450	BRD Lan Zealot Hard 290	Common Low Boss	100	1	1			100	50	20
460	Bodo	30	Common Dungeon	100	1	1	0	100	0	0	0
460	Bodo	290	Common Low Boss	25	1	1			100	20	2
470	DTB Hard	20	Common Hard Boss	100	1	1				100	25
470	DTB Hard	0	GENERIC	100	1	1					100
470	DTB Hard	10	PVP GENERIC	25	1	1					100
